"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"91";NA;NA;NA;NA;NA;"Konsolideerimisgrupi kulud";"-2 864 844 667";NA;NA;NA
"92";NA;NA;NA;NA;NA;"sealhulgas antud siirded riigiasutustele";"-70 342 149";NA;NA;NA
"93";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-287 494 040";NA;NA;NA
"94";NA;"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;"85 972 483";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 1. RIIGIKOGU";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"918";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"918";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"918";NA;NA;NA
"5";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"918";NA;NA;NA
"6";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-22 790 895";NA;NA;NA
"7";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-17 718 701";NA;NA;NA
"8";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-5 072 194";NA;NA;NA
"9";NA;"KULUD KOKKU";NA;NA;NA;NA;"-22 112 095";NA;NA;NA
"10";NA;NA;NA;NA;NA;"Tegevuskulud";"-22 112 095";NA;NA;NA
"11";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-5 288 994";NA;NA;NA
"12";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-16 823 101";NA;NA;NA
"13";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-678 800";NA;NA;NA
"14";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"918";NA;NA;NA
"15";NA;NA;"3";NA;NA;"Tegevustulud";"918";NA;NA;NA
"16";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"918";NA;NA;NA
"17";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"918";NA;NA;NA
"18";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-22 790 895";NA;NA;NA
"19";NA;"KULUD";NA;NA;NA;NA;"-22 112 095";NA;NA;NA
"20";NA;NA;NA;NA;NA;"Tegevuskulud";"-22 112 095";NA;NA;NA
"21";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-5 288 994";NA;NA;NA
"22";NA;"10";"41";"SE000026";10;"Avaliku sektori eripensionid ja pensionisuurendused";"-5 069 594";NA;NA;NA
"23";NA;"0";"41";"0";10;"Sotsiaaltoetused";"-2 600";NA;NA;NA
"24";NA;"20";"45";"0";1;"Antud sihtotstarbelised toetused";"-80 000";NA;NA;NA
"25";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-16 823 101";NA;NA;NA
"26";NA;"10";"5";"SE000001";1;"Õppelaenude tagasimaksmisega seotud kulud";"-2 754";NA;NA;NA
"27";NA;"10";"5";"SEP10002";1;"Riigikogu liikmete töötasu";"-4 587 501";NA;NA;NA
"28";NA;"10";"5";"SEP10004";1;"Riigikogu liikmete sotsiaalmaks";"-1 513 875";NA;NA;NA
"29";NA;"20";"5";NA;1;"74000101. Riigikogu Kantselei";"-10 291 535";NA;NA;NA
"30";NA;"20";"5";NA;1;"70008256. Vabariigi Valimiskomisjon";"-295 000";NA;NA;NA
"31";NA;"20";"5";NA;1;"70009043. Erakondade rahastamise järelevalve komisjon";"-107 436";NA;NA;NA
"32";NA;"20";"5";"SE000099";1;"Täiendav eraldis";"-25 000";NA;NA;NA
"33";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-678 800";NA;NA;NA
"34";NA;"30";NA;"INP10000";1;"Investeeringud";"-678 800";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 2. VABARIIGI PRESIDENDI KANTSELEI";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"27 482";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"27 482";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"27 482";NA;NA;NA
"5";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"27 482";NA;NA;NA
"6";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-4 341 581";NA;NA;NA
"7";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-4 073 484";NA;NA;NA
"8";NA;NA;NA;NA;8;"Vabaaeg, kultuur ja religioon";"-184 705";NA;NA;NA
"9";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-83 392";NA;NA;NA
"10";NA;"KULUD KOKKU";NA;NA;NA;NA;"-4 314 399";NA;NA;NA
"11";NA;NA;NA;NA;NA;"Tegevuskulud";"-4 314 399";NA;NA;NA
"12";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-498 179";NA;NA;NA
"13";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-3 816 220";NA;NA;NA
"14";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-27 182";NA;NA;NA
