"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"78";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"4 500 436";NA;NA;NA
"79";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"4 500 436";NA;NA;NA
"80";NA;NA;"35";NA;NA;"Saadud toetused";"2 729 786";NA;NA;NA
"81";NA;"40";"358";"TP014001";NA;"Saadud kodumaised toetused";"298 951";NA;NA;NA
"82";NA;"40";"359";"VT000099";NA;"Saadud välistoetused";"2 430 835";NA;NA;NA
"83";NA;NA;"38";NA;NA;"Muud tulud";"2 200 000";NA;NA;NA
"84";NA;"40";"388";NA;NA;"Muud eespool nimetamata tulud";"2 200 000";NA;NA;NA
"85";NA;NA;"70";NA;NA;"Saadud siirded riigiasutustelt";"6 391";NA;NA;NA
"86";NA;"40";"70";"TP012001";NA;"Riiklikueksperditöötasuväljamakseteks-Majandus-ja
Kommunikatsiooniministeeriumilt";"6 391";NA;NA;NA
"87";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-9 436 613";NA;NA;NA
"88";NA;"KULUD";NA;NA;NA;NA;"-9 042 613";NA;NA;NA
"89";NA;NA;NA;NA;NA;"Tegevuskulud";"-9 042 613";NA;NA;NA
"90";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-2 212 400";NA;NA;NA
"91";NA;"40";"45";"SE000003";3;"Liikmemaksud";"-12 400";NA;NA;NA
"92";NA;"40";"45";"SE000004";4;"Universaalse postiteenuse kulude hüvitis";"-2 200 000";NA;NA;NA
"93";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-6 830 213";NA;NA;NA
"94";NA;"40";"5";NA;3;"70000898. Justiitsministeerium";"-1 891 488";NA;NA;NA
"95";NA;"40";"5";NA;3;"70003572. Eesti Kohtuekspertiisi Instituut";"-210 000";NA;NA;NA
"96";NA;"40";"5";NA;3;"70000310. Registrite ja Infosüsteemide Keskus";"-3 473 243";NA;NA;NA
"97";NA;"40";"5";NA;3;"70004235. Andmekaitse inspektsioon";"-1 000";NA;NA;NA
"98";NA;"40";"5";NA;4;"70000303. Konkurentsiamet";"-50";NA;NA;NA
"99";NA;"40";"5";NA;3;"Kinnipidamiskohad";"-856 681";NA;NA;NA
"100";NA;"40";"5";NA;4;"70003164. Patendiamet";"-98 800";NA;NA;NA
"101";NA;"40";"5";NA;3;"Välistoetuste riiklik kaasfinantseering";"-298 951";NA;NA;NA
"102";NA;NA;NA;NA;NA;"INVESTEERINGUD";"-394 000";NA;NA;NA
"103";NA;"40";NA;"IN030000";3;"Investeeringud";"-94 000";NA;NA;NA
"104";NA;"40";NA;"IN030000";4;"Investeeringud";"-300 000";NA;NA;NA
"105";"EdasiantavadmaksudTULUD";NA;NA;NA;NA;NA;"700 000";NA;NA;NA
"106";NA;NA;"3";NA;NA;"Tegevustulud";"700 000";NA;NA;NA
"107";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"700 000";NA;NA;NA
"108";NA;"59";"320";NA;NA;"Patendiameti toimingute riigilõiv";"700 000";NA;NA;NA
"109";NA;"KULUD";NA;NA;NA;NA;"-700 000";NA;NA;NA
"110";NA;NA;NA;NA;NA;"Tegevuskulud";"-700 000";NA;NA;NA
"111";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-700 000";NA;NA;NA
"112";NA;"59";"601";"SE000022";4;"Patendiameti toimingute riigilõiv - Euroopa Patendiamet";"-700 000";NA;NA;NA
"113";"Fin.tehingudFINANTSEERIMISTEHINGUD";NA;NA;NA;NA;NA;"-1 735 356";NA;NA;NA
"114";NA;"20";"206";NA;NA;"Kohustuste vähenemine";"-3 607";NA;NA;NA
"115";NA;"20";"206";"SE000028";NA;"Vahendid Riigi Kinnisvara ASile";"-1 731 749";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 4. KAITSEMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"2 393 035";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"2 393 035";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"134 724";NA;NA;NA
"5";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"7 300";NA;NA;NA
"6";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"127 424";NA;NA;NA
"7";NA;NA;"35";NA;NA;"Saadud toetused";"1 641 625";NA;NA;NA
"8";NA;NA;"359";NA;NA;"Saadud välistoetused";"1 641 625";NA;NA;NA
"9";NA;NA;"38";NA;NA;"Muud tulud";"616 686";NA;NA;NA
"10";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"340 000";NA;NA;NA
"11";NA;NA;"382";NA;NA;"Muud tulud varadelt";"7 386";NA;NA;NA
"12";NA;NA;"383";NA;NA;"Trahvid ja muud varalised karistused";"45 000";NA;NA;NA
"13";NA;NA;"388";NA;NA;"Muud eelpool nimetamata tulud";"224 300";NA;NA;NA
"14";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-450 630 368";NA;NA;NA
"15";NA;NA;NA;NA;2;"Riigikaitse";"-423 650 740";NA;NA;NA
"16";NA;NA;NA;NA;7;"Tervishoid";"-614 153";NA;NA;NA
"17";NA;NA;NA;NA;8;"Vabaaeg, kultuur ja religioon";"-1 030 909";NA;NA;NA
"18";NA;NA;NA;NA;9;"Haridus";"-10 034 857";NA;NA;NA
"19";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-15 299 709";NA;NA;NA
"20";NA;"KULUD KOKKU";NA;NA;NA;NA;"-395 855 754";NA;NA;NA
"21";NA;NA;NA;NA;NA;"Tegevuskulud";"-388 276 585";NA;NA;NA
"22";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-53 572 105";NA;NA;NA
"23";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-318 618 333";NA;NA;NA
"24";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-16 086 147";NA;NA;NA
"25";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-7 579 169";NA;NA;NA
"26";NA;"Konsolideerimisgrupi kulud";NA;NA;NA;NA;"-7 579 169";NA;NA;NA
"27";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-54 774 614";NA;NA;NA
"28";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"744 110";NA;NA;NA
"29";NA;NA;"3";NA;NA;"Tegevustulud";"744 110";NA;NA;NA
"30";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"127 424";NA;NA;NA
"31";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"127 424";NA;NA;NA
"32";NA;NA;"38";NA;NA;"Muud tulud";"616 686";NA;NA;NA
"33";NA;"10";"381";NA;NA;"Tulud varude ja põhivara müügist";"340 000";NA;NA;NA
"34";NA;"10";"382";NA;NA;"Muud tulud varadelt";"7 386";NA;NA;NA
"35";NA;"10";"383";NA;NA;"Trahvid ja muud varalised karistused";"45 000";NA;NA;NA
"36";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"224 300";NA;NA;NA
"37";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-448 981 443";NA;NA;NA
"38";NA;"KULUD";NA;NA;NA;NA;"-395 848 454";NA;NA;NA
"39";NA;NA;NA;NA;NA;"Tegevuskulud";"-388 269 285";NA;NA;NA
"40";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-53 572 105";NA;NA;NA
"41";NA;"10";"41";"SE040001";10;"Hüvitis hukkumise või vigastuse korral";"-162 000";NA;NA;NA
"42";NA;"10";"41";"SE040004";10;"Ajateenijate eest makstav sotsiaalmaks";"-3 990 925";NA;NA;NA
"43";NA;"10";"41";"SE040005";10;"Ajateenijate toetus";"-3 269 252";NA;NA;NA
"44";NA;"10";"41";"SE040006";10;"Asendusteenistuslaste eest makstav sotsiaalmaks";"-115 830";NA;NA;NA
"45";NA;"10";"41";"SE040007";10;"Asendusteenistuslaste toetus ja kutsealuste sõidukulu";"-525 000";NA;NA;NA
"46";NA;"20";"41";"SE040010";2;"Preemiad";"-22 180";NA;NA;NA
"47";NA;"20";"41";"SE040011";2;"Õppemaksu hüvitamine";"-10 000";NA;NA;NA
"48";NA;"20";"41";"SE040012";2;"Stipendiumid riigikaitseõpetajatele";"-25 000";NA;NA;NA
"49";NA;"20";"41";"SE040002";9;"Noorteadlaste stipendiumid kaitseuuringuteks";"-75 200";NA;NA;NA
"50";NA;"20";"45";NA;2;"Antud sihtotstarbelised toetused";"-2 500 971";NA;NA;NA
"51";NA;"20";"45";NA;8;"Antud sihtotstarbelised toetused";"-194 490";NA;NA;NA
"52";NA;"20";"45";"SE040008";2;"Sihtotstarbeline toetus Kaitseliidule";"-33 721 715";NA;NA;NA
"53";NA;"20";"45";"SE000099";2;"Täiendav eraldis";"-15 000";NA;NA;NA
"54";NA;"30";"45";"IN000099";2;"Täiendav eraldis";"-15 000";NA;NA;NA
"55";NA;"30";"45";"IN040000";2;"Investeeringutoetused";"-650 000";NA;NA;NA
"56";NA;"30";"45";"IN040000";8;"Investeeringutoetused";"-37 000";NA;NA;NA
"57";NA;"30";"45";"SE000003";2;"Liikmemaksud";"-8 242 542";NA;NA;NA
"58";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-318 611 033";NA;NA;NA
"59";NA;"20";"5";NA;2;"70004502. Kaitseministeerium";"-13 774 833";NA;NA;NA
"60";NA;"20";"5";NA;2;"Kaitsevägi";"-159 642 995";NA;NA;NA
"61";NA;"20";"5";NA;9;"Kaitsevägi";"-9 959 657";NA;NA;NA
"62";NA;"20";"5";NA;2;"70007647. Kaitseressursside Amet";"-3 864 449";NA;NA;NA
"63";NA;"20";"5";NA;7;"70006257. Seli Tervisekeskus";"-595 153";NA;NA;NA
"64";NA;"20";"5";NA;8;"70006139. Laidoneri Muuseum";"-778 551";NA;NA;NA
"65";NA;"20";"5";"SE000001";2;"Õppelaenude tagasimaksmisega seotud kulud";"-42 990";NA;NA;NA
"66";NA;"20";"5";"SE000028";2;"Vahendid Riigi Kinnisvara ASile";"-117 800";NA;NA;NA
"67";NA;"30";"5";"SE040009";2;"Kaitseotstarbeline erivarustus";"-129 834 605";NA;NA;NA
"68";NA;"20";"60";NA;2;"Muud tegevuskulud";"-16 086 147";NA;NA;NA
"69";NA;NA;"71";NA;0;"Antud siirded riigiasutustele";"-7 579 169";NA;NA;NA
"70";NA;"10";"71";"TP016001";10;"Kaitseväelaste pensionid - Sotsiaalkindlustusametile";"-7 200 837";NA;NA;NA
"71";NA;"10";"71";"TP016001";10;"Peretoetused - Sotsiaalkindlustusametile";"-20 000";NA;NA;NA
"72";NA;"20";"71";"TP007090";2;"Militaarsõnavara uuendamine - Eesti Keele Instituudile";"-80 000";NA;NA;NA
"73";NA;"20";"71";"TP015001";2;"Toetus - Siseministeeriumile";"-262 467";NA;NA;NA
"74";NA;"20";"71";"TP016001";10;"Riigikaitseinimfaktorigaseonduvajätkusuutlikkuseuurimissuuna
arendamine-TerviseArenguInstituudile";"-15 865";NA;NA;NA
"75";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-53 132 989";NA;NA;NA
"76";NA;"30";NA;"IN040000";2;"Investeeringud";"-53 100 421";NA;NA;NA
"77";NA;"30";NA;"IN040000";7;"Investeeringud";"-15 000";NA;NA;NA
"78";NA;"30";NA;"IN040000";8;"Investeeringud";"-17 568";NA;NA;NA
"79";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"1 648 925";NA;NA;NA
"80";NA;NA;"3";NA;NA;"Tegevustulud";"1 648 925";NA;NA;NA
"81";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"7 300";NA;NA;NA
"82";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"7 300";NA;NA;NA
"83";NA;"40";"35
359";"VT900201";NA;"Saadudtoetused
Saadudvälistoetused";"1641625
1641625";NA;NA;NA
"84";NA;"40";"35
359";"VT900201";NA;"Saadudtoetused
Saadudvälistoetused";"1641625
1641625";NA;NA;NA
"85";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-1 648 925";NA;NA;NA
"86";NA;"KULUD";NA;NA;NA;NA;"-7 300";NA;NA;NA
"87";NA;NA;NA;NA;NA;"Tegevuskulud";"-7 300";NA;NA;NA
"88";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-7 300";NA;NA;NA
"89";NA;"40";"5";NA;7;"70006257. Seli Tervisekeskus";"-4 000";NA;NA;NA
"90";NA;"40";"5";NA;8;"70006139. Laidoneri Muuseum";"-3 300";NA;NA;NA
"91";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-1 641 625";NA;NA;NA
"92";NA;"40";NA;"IN040000";2;"Investeeringud";"-1 641 625";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 5. KESKKONNAMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"96 673 073";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"76 961 161";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"38 002 001";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"259 411";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"672 000";NA;NA;NA
"7";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"37 070 590";NA;NA;NA
"8";NA;NA;"35";NA;NA;"Saadud toetused";"24 650 498";NA;NA;NA
"9";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"1 966 011";NA;NA;NA
"10";NA;NA;"359";NA;NA;"Saadud välistoetused";"22 684 487";NA;NA;NA
"11";NA;NA;"38";NA;NA;"Muud tulud";"14 308 662";NA;NA;NA
"12";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"13 000 000";NA;NA;NA
"13";NA;NA;"382";NA;NA;"Muud tulud varadelt";"1 108 662";NA;NA;NA
"14";NA;NA;"383";NA;NA;"Trahvid ja muud varalised kohustused";"200 000";NA;NA;NA
"15";NA;NA;"655";NA;NA;"Finantstulud";"19 648 000";NA;NA;NA
"16";NA;NA;"70";NA;NA;"Saadud siirded riigiasutustelt";"63 912";NA;NA;NA
"17";NA;NA;NA;NA;NA;"Konsolideerimisgrupi tulud";"22 539 871";NA;NA;NA
"18";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-114 742 887";NA;NA;NA
"19";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-136 364";NA;NA;NA
"20";NA;NA;NA;NA;4;"Majandus";"-10 111 032";NA;NA;NA
"21";NA;NA;NA;NA;5;"Keskkonnakaitse";"-103 983 586";NA;NA;NA
"22";NA;NA;NA;NA;8;"Vabaaeg, kultuur ja religioon";"-511 905";NA;NA;NA
"23";NA;"KULUD KOKKU";NA;NA;NA;NA;"-109 650 369";NA;NA;NA
"24";NA;NA;NA;NA;NA;"Tegevuskulud";"-109 650 369";NA;NA;NA
"25";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-61 057 020";NA;NA;NA
"26";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-47 484 687";NA;NA;NA
"27";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-1 108 662";NA;NA;NA
"28";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-1 067 945";NA;NA;NA
"29";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-5 092 518";NA;NA;NA
"30";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"35 316 001";NA;NA;NA
"31";NA;NA;NA;NA;NA;"Tegevustulud";"15 668 001";NA;NA;NA
"32";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"2 468 001";NA;NA;NA
"33";NA;"10";"320";NA;NA;"Riigilõivud";"259 411";NA;NA;NA
"34";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"2 208 590";NA;NA;NA
"35";NA;NA;"38";NA;NA;"Muud tulud";"13 200 000";NA;NA;NA
"36";NA;"10";"381";NA;NA;"Tulud varude ja põhivara müügist";"13 000 000";NA;NA;NA
"37";NA;"10";"383";NA;NA;"Trahvid ja muud varalised kohustused";"200 000";NA;NA;NA
"38";NA;"10";"655";NA;NA;"Finantstulud";"19 648 000";NA;NA;NA
"39";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-47 867 815";NA;NA;NA
"40";NA;"KULUD";NA;NA;NA;NA;"-45 927 815";NA;NA;NA
"41";NA;NA;NA;NA;NA;"Tegevuskulud";"-45 927 815";NA;NA;NA
"42";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-2 557 797";NA;NA;NA
"43";NA;"20";"41";NA;5;"Sotsiaaltoetused";"-9 474";NA;NA;NA
"44";NA;"20";"45";NA;5;"Antud sihtotstarbelised toetused";"-1 583 092";NA;NA;NA
"45";NA;"20";"45";"SE000099";5;"Täiendav eraldis";"-5 000";NA;NA;NA
"46";NA;"20";"45";"IN000099";5;"Täiendav eraldis";"-6 000";NA;NA;NA
"47";NA;"20";"45";"SE000003";5;"Liikmemaksud";"-954 231";NA;NA;NA
"48";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-43 370 018";NA;NA;NA
"49";NA;"10";"5";"SE000001";5;"Õppelaenude tagasimaksmisega seotud kulud";"-51 000";NA;NA;NA
"50";NA;"20";"5";NA;4;"70003098. Maa-amet";"-8 995 095";NA;NA;NA
"51";NA;"20";"5";NA;5;"70001231. Keskkonnaministeerium";"-7 961 749";NA;NA;NA
"52";NA;"20";"5";NA;5;"70008658. Keskkonnaamet";"-8 789 597";NA;NA;NA
"53";NA;"20";"5";NA;5;"70003106. Keskkonnainspektsioon";"-5 613 914";NA;NA;NA
"54";NA;"20";"5";NA;5;"70009540. Keskkonnaagentuur";"-7 640 331";NA;NA;NA
"55";NA;"20";"5";NA;5;"70009445. Keskkonnaministeeriumi Infotehnoloogiakeskus";"-2 462 061";NA;NA;NA
"56";NA;"20";"5";NA;8;"70003129. Eesti Loodusmuuseum";"-404 905";NA;NA;NA
"57";NA;"20";"5";"SE000028";5;"Vahendid Riigi Kinnisvara ASile";"-1 418 576";NA;NA;NA
"58";NA;"20";"5";"SE000033";5;"Vahendid EL Nõukogu eesistumiseks";"-32 790";NA;NA;NA
"59";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-1 940 000";NA;NA;NA
"60";NA;"30";NA;"IN050000";4;"Investeeringud";"-800 000";NA;NA;NA
"61";NA;"30";NA;"IN050000";5;"Investeeringud";"-1 140 000";NA;NA;NA
"62";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"60 248 410";NA;NA;NA
"63";NA;NA;NA;NA;NA;"Tegevustulud";"60 184 498";NA;NA;NA
"64";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"35 534 000";NA;NA;NA
"65";NA;"40";"322";NA;NA;"Tulu majandustegevusest";"672 000";NA;NA;NA
"66";NA;"40";"323";NA;NA;"Muu kaupade ja teenuste müük (kasvuhoonegaaside kvootide müük)";"34 862 000";NA;NA;NA
"67";NA;NA;"35";NA;NA;"Saadud toetused";"24 650 498";NA;NA;NA
"68";NA;"40";"358";"TP014001";NA;"Saadud kodumaised toetused";"1 067 945";NA;NA;NA
"69";NA;"40";"358";NA;NA;"Saadudkodumainetoetus(KIKiltkeskkonnaprvahendidomafinkatteks)";"898 066";NA;NA;NA
"70";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (2014+ perioodi struktuuritoetused)";"17 565 000";NA;NA;NA
"71";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (struktuuritoetuste tehniline abi)";"2 405 000";NA;NA;NA
"72";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (Norra ja EMP)";"1 432 608";NA;NA;NA
"73";NA;"40";"359";"TP014001";NA;"Saadud välistoetused (Ðveitsi-Eesti koostööprogramm)";"5 406";NA;NA;NA
"74";NA;"40";"359";"VT000099";NA;"Saadud välistoetused (muud)";"1 276 473";NA;NA;NA
"75";NA;NA;"70";NA;NA;"Saadud siirded riigiasutustelt";"63 912";NA;NA;NA
"76";NA;"40";"70";"TP014001";NA;"Kohanimeregistriülalpidamisekskaasrahastamine-
Rahandusministeeriumilt";"63 912";NA;NA;NA
"77";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-65 766 410";NA;NA;NA
"78";NA;"KULUD";NA;NA;NA;NA;"-62 613 892";NA;NA;NA
"79";NA;NA;NA;NA;NA;"Tegevuskulud";"-62 613 892";NA;NA;NA
"80";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-58 499 223";NA;NA;NA
"81";NA;"40";"45";NA;5;"Antud sihtotstarbelised toetused";"-17 193 340";NA;NA;NA
"82";NA;"40";"45";"SE050001";5;"Kasvuhoonegaasidekvootidemüügiarveltjarohelise
investeerimisskeemikohaseltrahastatavadprojektid";"-40 380 000";NA;NA;NA
"83";NA;"40";"45";NA;5;"Välistoetuste riiklik kaasfinantseering";"-925 883";NA;NA;NA
"84";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-4 114 669";NA;NA;NA
"85";NA;"40";"5";NA;4;"70003098. Maa-amet";"-315 937";NA;NA;NA
"86";NA;"40";"5";NA;5;"70001231. Keskkonnaministeerium";"-1 020 336";NA;NA;NA
"87";NA;"40";"5";NA;5;"70008658. Keskkonnaamet";"-2 074 218";NA;NA;NA
"88";NA;"40";"5";NA;5;"70009540. Keskkonnaagentuur";"-512 840";NA;NA;NA
"89";NA;"40";"5";NA;5;"70009445. Keskkonnaministeeriumi Infotehnoloogiakeskus";"-12 685";NA;NA;NA
"90";NA;"40";"5";NA;8;"70003129. Eesti Loodusmuuseum";"-42 000";NA;NA;NA
"91";NA;"40";"5";NA;5;"Välistoetuste riiklik kaasfinantseering";"-136 653";NA;NA;NA
"92";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-3 152 518";NA;NA;NA
"93";NA;"40";NA;"IN050000";1;"Investeeringud";"-136 364";NA;NA;NA
"94";NA;"40";NA;"IN050000";5;"Investeeringud";"-2 945 745";NA;NA;NA
"95";NA;"40";NA;"IN050000";8;"Investeeringud";"-65 000";NA;NA;NA
"96";NA;"40";NA;"IN050000";5;"Välistoetuste riiklik kaasfinantseering";"-5 409";NA;NA;NA
"97";"EdasiantavadmaksudTULUD";NA;NA;NA;NA;NA;"1 108 662";NA;NA;NA
"98";NA;NA;"3";NA;NA;"Tegevustulud";"1 108 662";NA;NA;NA
"99";NA;NA;"38";NA;NA;"Muud tulud";"1 108 662";NA;NA;NA
"100";NA;"58";"382";NA;NA;"Keskkonnatasu(jahipiirkonnajakalapüügiõigusetasu)ja
keskkonnakahju";"1 108 662";NA;NA;NA
"101";NA;"KULUD";NA;NA;NA;NA;"-1 108 662";NA;NA;NA
"102";NA;NA;NA;NA;NA;"Tegevuskulud";"-1 108 662";NA;NA;NA
"103";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-1 108 662";NA;NA;NA
"104";NA;"58";"601";"SE000014";5;"Keskkonnatasudjakeskkonnakahju-Keskkonnainvesteeringute
Keskus";"-1 108 662";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 6. KULTUURIMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"43 494 748";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"43 494 748";NA;NA;NA
"4";NA;NA;"30";NA;NA;"Maksud ja sotsiaalkindlustusmaksed";"30 246 703";NA;NA;NA
"5";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"5 264 143";NA;NA;NA
"6";NA;NA;"320";NA;NA;"Riigilõivud";"13 500";NA;NA;NA
"7";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"5 164 255";NA;NA;NA
"8";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"86 388";NA;NA;NA
"9";NA;NA;"35";NA;NA;"Saadud toetused";"7 978 902";NA;NA;NA
"10";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"608 943";NA;NA;NA
"11";NA;NA;"359";NA;NA;"Saadud välistoetused";"7 369 959";NA;NA;NA
"12";NA;NA;"38";NA;NA;"Muud tulud";"5 000";NA;NA;NA
"13";NA;NA;"388";NA;NA;"Muud eespool nimetamata tulud";"5 000";NA;NA;NA
"14";NA;"Konsolideerimisgrupi tulud";NA;NA;NA;NA;"30 708 046";NA;NA;NA
"15";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-212 815 361";NA;NA;NA
"16";NA;NA;NA;NA;8;"Vabaaeg, kultuur ja religioon";"-212 815 361";NA;NA;NA
"17";NA;"KULUD KOKKU";NA;NA;NA;NA;"-206 248 083";NA;NA;NA
"18";NA;NA;NA;NA;NA;"Tegevuskulud";"-179 455 083";NA;NA;NA
"19";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-147 625 558";NA;NA;NA
"20";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-21 638 934";NA;NA;NA
"21";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-26 793 000";NA;NA;NA
"22";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-6 567 278";NA;NA;NA
"23";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-461 343";NA;NA;NA
"24";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"104 888";NA;NA;NA
"25";NA;NA;"3";NA;NA;"Tegevustulud";"104 888";NA;NA;NA
"26";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"99 888";NA;NA;NA
"27";NA;"10";"320";NA;NA;"Riigilõivud";"13 500";NA;NA;NA
"28";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"86 388";NA;NA;NA
"29";NA;NA;"38";NA;NA;"Muud tulud";"5 000";NA;NA;NA
"30";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"5 000";NA;NA;NA
"31";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-169 425 501";NA;NA;NA
"32";NA;"KULUD";NA;NA;NA;NA;"-163 744 723";NA;NA;NA
"33";NA;NA;NA;NA;NA;"Tegevuskulud";"-163 744 723";NA;NA;NA
"34";NA;"20";NA;"TK060001";8;"Muuseumid";"-10 190 591";NA;NA;NA
"35";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-138 656 587";NA;NA;NA
"36";NA;"20";"41";NA;8;"Sotsiaaltoetused";"-635 420";NA;NA;NA
"37";NA;"10";"45";"SE000001";8;"Õppelaenude tagasimaksmisega seotud kulud";"-19 000";NA;NA;NA
"38";NA;"20";"45";NA;8;"Antud sihtotstarbelised toetused";"-65 387 719";NA;NA;NA
"39";NA;"20";"45";"SE000028";8;"Vahendid Riigi Kinnisvara ASile";"-2 310 308";NA;NA;NA
"40";NA;"20";"45";"SE000099";8;"Täiendav eraldis";"-2 226 000";NA;NA;NA
"41";NA;"20";"45";"SE060001";8;"Rahvusooper Estonia";"-8 560 673";NA;NA;NA
