pealkiri;nimetus
Nimeseadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Nimeseadus;Uue nime andmine
Perekonnaseadus;Uue nime andmine
Rahvastikuregistri seadus;Uue nime andmine
Riigilõivuseadus;Uue nime andmine
Perekonnaseisutoimingute seadus;Uue nime andmine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Andmete parandamine ja muutmine
Nimeseadus;Andmete parandamine ja muutmine
Rahvastikuregistri seadus;Andmete parandamine ja muutmine
Perekonnaseisutoimingute seadus;Andmete parandamine ja muutmine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Nimeseadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Rahvastikuregistri seadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite väljastamine
Riigilõivuseadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Abieluvõime tõendi väljastamine
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseadus;Lapsendamine
Tsiviilkohtumenetluse seadustik;Lapsendamine
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Haridussilm.ee - haridus- ja teadusstatistika avaldamine
Eesti Vabariigi haridusseadus;Haridussilm.ee - haridus- ja teadusstatistika avaldamine
Erakooliseadus;Õppeasutuste tegevus- või koolitusloa taotlemine
Majandustegevuse seadustiku üldosa seadus1;Õppeasutuste tegevus- või koolitusloa taotlemine
Põhikooli- ja gümnaasiumiseadus;Õppeasutuste tegevus- või koolitusloa taotlemine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Isikukaart eesti.ee portaalis
Õppetoetuste ja õppelaenu seadus1;Vajaduspõhise õppetoetuse taotlemine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Vajaduspõhise õppetoetuse taotlemine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Interaktiivne Eesti koolide kaart
Õppetoetuste ja õppelaenu seadus1;Vajaduspõhise õppetoetuse eritoetuse taotlemine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Vajaduspõhise õppetoetuse eritoetuse taotlemine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;Tegevus- ja tulemusnäitajate avaldamine
Eesti Vabariigi haridusseadus;Tegevus- ja tulemusnäitajate avaldamine
Päästeseadus;Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112
Häirekeskuse põhimäärus;Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112
Päästeseadus;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Häirekeskuse põhimäärus;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Kiirabi, haiglate ning päästeasutuste ja politsei kiirabialase koostöö kord[RT I, 29.12.2011, 138 - jõust. 01.01.2012] ;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Päästemeeskondade ja kiirabibrigaadide operatiivne juhtimine
Häirekeskuse põhimäärus;Infoteadete vastuvõtmine
Hädaabiteadete menetlemise kord ja hädaabiteadete menetlemiseks vajalikele vahenditele esitatavad nõuded;Operatiivinformatsiooni edastamine
Päästeseadus;Operatiivinformatsiooni edastamine
Häirekeskuse põhimäärus;Operatiivinformatsiooni edastamine
Eesti Hariduse Infosüsteemi asutamine ning põhimäärus;E-tunnistuse kehtivuse kontrollimine (tööandjatele)
Keeleseadus;Eesti keele tasemeeksami andmete vaatamine
Eesti keele tasemeeksamite ülesehitus ja läbiviimise kord[RT I, 13.09.2012, 1 - jõust. 16.09.2012] ;Eesti keele tasemeeksamile registreerumine
Keeleseadus;Eesti keele tasemeeksamile registreerumine
Keeleseadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksamile registreerimine
Kodakondsuse seadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksamile registreerimine
Keeleseadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmete vaatamine
Kodakondsuse seadus;Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmete vaatamine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Riigieksamite andmete ja e-tunnistuse vaatamine
Põhikooli- ja gümnaasiumiseadus;Riigieksamite andmete ja e-tunnistuse vaatamine
Tasemetööde ning põhikooli ja gümnaasiumi lõpueksamite ettevalmistamise ja läbiviimise ning eksamitööde koostamise, hindamise ja säilitamise tingimused ja kord ning tasemetööde, ühtsete põhikooli lõpueksamite ja riigieksamite tulemuste analüüsimise tingimused ja kord;Riigieksamitele registreerimine
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Riigieksamitele registreerimine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Eksamitööga tutvumine ja vaide esitamine
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Eksamitööga tutvumine ja vaide esitamine
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;E-riigieksamitunnistuse kinnitatud väljatrüki taotlemine
Keeleseadus;Eesti keele tasemeeksami duplikaadi taotlemine
Keeleseadus;Eesti keele õppe kulude hüvitamise taotlemine
Kodakondsuse seadus;Eesti keele õppe kulude hüvitamise taotlemine
Keeleseadus;Erivajadustega arvestamise taotlus eesti keele tasemeeksamil
Lõpueksamite, eesti keele tasemeeksami ning Eesti Vabariigi põhiseaduse ja kodakondsuse seaduse tundmise eksami andmekogu asutamine ja põhimäärus[RT I, 10.07.2014, 1 - jõust. 01.08.2014] ;Riigieksami korduvsooritusele registreerimine
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Riigieksami korduvsooritusele registreerimine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Nimeseadus;Nime muutmine
Perekonnaseadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Perekonnaseisutoimingute seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Rahvastikuregistri seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Isikuandmete kaitse seadus1;Tõendi väljastamine
Perekonnaseisuasutusele esitatavate avalduste, paberil tehtavate perekonnaseisukannete ja perekonnaseisuandmete väljavõtete vormid, abieluvõimetõendile kantavad andmed ning mitmekeelses väljavõttes kasutatavate keelte loetelu;Tõendi väljastamine
Riigilõivuseadus;Tõendi väljastamine
Perekonnaseisutoimingute seadus;Tõendi väljastamine
Perekonnaseadus;Lapsendamine
Tsiviilkohtumenetluse seadustik;Lapsendamine
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse ning erihoolekandeteenuste tegevusloa vormi ja taotlemisel nõutavate dokumentide loetelu kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse tegevusloa taotluse vormi kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse ning erihoolekandeteenuste tegevusloa vormi ja taotlemisel nõutavate dokumentide loetelu kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Perekonnaseadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Riigi õigusabi seadus;Õigusnõustamine portaalis Juristaitab
Mittetulundusühingute ja sihtasutuste poolt õigusabi andmiseks toetuse taotlemise tingimused ja kord;Õigusnõustamine portaalis Juristaitab
Laeva lipuõiguse ja laevaregistrite seadus;Päringute sooritamine laevakinnistusraamatu teabesüsteemis
Abieluvararegistri seadus;Päringute sooritamine abieluvararegistri teabesüsteemis
Kinnistusraamatuseadus;Andmevahetus ning päringud kinnistusraamatust ametiasutustele
Kinnistusraamatu andmetöötluskeskus;Kinnistusraamatu XML teenus
Kinnistusraamatuseadus;Kinnistamisavalduste esitamine Kinnistuportaalis
Kinnistusraamatuseadus;Päringute sooritamine kinnistusraamatu teabesüsteemis
Äriseadustik1;Avalduste ja dokumentide esitamine Ettevõtjaportaalis
